service_id,route_id,trip_id,direction_id,trip_headsign,block_id
WK,BLUE,WK_122000,1,Nagole,WK_30501
WK,BLUE,WK_122001,0,Raidurg,WK_30601
WK,BLUE,WK_122002,1,Nagole,WK_30601
WK,BLUE,WK_122003,0,Raidurg,WK_31401
WK,BLUE,WK_122004,1,Nagole,WK_31401
WK,BLUE,WK_122005,0,Raidurg,WK_30701
WK,BLUE,WK_122006,1,Nagole,WK_30701
WK,BLUE,WK_122007,0,Raidurg,WK_31501
WK,BLUE,WK_122009,0,Raidurg,WK_30801
WK,BLUE,WK_122011,0,Raidurg,WK_31601
WK,BLUE,WK_122013,0,Raidurg,WK_30901
WK,BLUE,WK_122015,0,Raidurg,WK_31001
WK,BLUE,WK_122016,1,Nagole,WK_31001
WK,BLUE,WK_122017,0,Raidurg,WK_31101
WK,BLUE,WK_122018,1,Nagole,WK_31101
WK,BLUE,WK_122552,1,Mettuguda,WK_20701
WK,BLUE,WK_122553,0,Raidurg,WK_20701
WK,BLUE,WK_122606,1,Mettuguda,WK_19901
WK,BLUE,WK_122607,0,Raidurg,WK_19901
WK,BLUE,WK_122608,1,Mettuguda,WK_8801
WK,BLUE,WK_122609,0,Raidurg,WK_8801
WK,BLUE,WK_122610,1,Mettuguda,WK_20501
WK,BLUE,WK_122611,0,Raidurg,WK_20501
WK,BLUE,WK_122618,0,Raidurg,WK_9001
WK,BLUE,WK_122619,1,Mettuguda,WK_9001
WK,BLUE,WK_122620,0,Raidurg,WK_8501
WK,BLUE,WK_122621,1,Mettuguda,WK_8501
WK,BLUE,WK_122622,0,Raidurg,WK_8601
WK,BLUE,WK_122623,1,Mettuguda,WK_8601
WK,BLUE,WK_122625,1,Mettuguda,WK_8701
WK,BLUE,WK_122628,0,Raidurg,WK_203701
WK,BLUE,WK_122629,1,Mettuguda,WK_203701
WK,BLUE,WK_122635,0,Raidurg,WK_8901
WK,BLUE,WK_122636,1,Mettuguda,WK_8901
WK,BLUE,WK_122648,0,Raidurg,WK_400101
WK,BLUE,WK_122650,1,Ameerpet,WK_400101
WK,BLUE,WK_122653,0,Raidurg,WK_400201
WK,BLUE,WK_122654,1,Ameerpet,WK_400201
WK,BLUE,WK_122661,0,HITEC City,WK_400201
WK,BLUE,WK_122662,1,Ameerpet,WK_400201
WK,BLUE,WK_122666,1,Ameerpet,WK_400101
WK,BLUE,WK_122691,0,Raidurg,WK_400101
WK,BLUE,WK_122692,1,Ameerpet,WK_400101
WK,BLUE,WK_122785,1,Nagole,WK_19901
WK,BLUE,WK_122794,1,Nagole,WK_8801
WK,BLUE,WK_122798,1,Nagole,WK_20501
WK,BLUE,WK_122801,1,Nagole,WK_8901
